Produto;Nível de comercialização;UF;Período;Preço medio
;;;06/2022;R$ 95,84
;;;07/2022;R$ 93,79
;;;08/2022;R$ 94,27
;;;09/2022;R$ 96,82
;;;10/2022;R$ 97,69
;;;11/2022;R$ 98,15
;;;12/2022;R$ 98,11
;;;01/2023;R$ 99,07
;ATACADO;SC;01/2020;R$ 49,42
;;;02/2020;R$ 50,27
;;;03/2020;R$ 51,23
;;;04/2020;R$ 50,28
;;;05/2020;R$ 50,69
;;;06/2020;R$ 49,79
;;;07/2020;R$ 51,63
;;;08/2020;R$ 57,52
;;;09/2020;R$ 63,79
;;;10/2020;R$ 73,80
;;;11/2020;R$ 86,01
;;;12/2020;R$ 81,34
;;;01/2021;R$ 87,49
;;;02/2021;R$ 87,61
;;;03/2021;R$ 89,48
;;;04/2021;R$ 102,28
;;;05/2021;R$ 106,55
;;;06/2021;R$ 97,55
;;;07/2021;R$ 103,24
;;;08/2021;R$ 105,95
;;;09/2021;R$ 101,27
;;;10/2021;R$ 99,68
;;;11/2021;R$ 95,44
;;;12/2021;R$ 96,16
;;;01/2022;R$ 103,86
;;;02/2022;R$ 106,66
;;;03/2022;R$ 106,74
;;;04/2022;R$ 99,04
;;;05/2022;R$ 97,17
;;;06/2022;R$ 96,64
;;;07/2022;R$ 92,85
;;;08/2022;R$ 95,11
;;;09/2022;R$ 95,88
;;;10/2022;R$ 95,59
;;;11/2022;R$ 95,44
;;;12/2022;R$ 94,99
;;;01/2023;R$ 97,91
;ATACADO;SE;01/2020;R$ 52,78
;;;02/2020;R$ 53,38
;;;03/2020;R$ 51,06
;;;04/2020;R$ 54,11
;;;05/2020;R$ 54,95
;;;06/2020;R$ 53,07
;;;07/2020;R$ 51,09
;;;08/2020;R$ 57,24
;;;09/2020;R$ 61,55
;;;10/2020;R$ 59,27
;;;11/2020;R$ 67,25
;;;12/2020;R$ 65,70
;;;01/2021;R$ 73,50
;;;02/2021;R$ 73,25
;;;03/2021;R$ 75,48
;;;04/2021;R$ 88,82
;;;05/2021;R$ 93,00
;;;06/2021;R$ 90,05
;;;07/2021;R$ 94,95
;;;08/2021;R$ 98,50
;;;09/2021;R$ 104,86
;;;10/2021;R$ 87,62
;;;11/2021;R$ 84,73
;;;12/2021;R$ 85,57
;;;01/2022;R$ 88,86
;;;02/2022;R$ 91,00
;;;03/2022;R$ 95,65
;;;04/2022;R$ 94,67
;;;05/2022;R$ 93,05
;;;06/2022;R$ 88,14
;;;07/2022;R$ 94,24
;;;08/2022;R$ 93,87
;;;09/2022;R$ 92,55
;;;10/2022;R$ 86,75
;;;11/2022;R$ 80,18
;;;12/2022;R$ 80,68
;;;01/2023;R$ 84,77
;ATACADO;SP;03/2020;R$ 55,39
;;;04/2020;R$ 49,66
;;;05/2020;R$ 48,26
;;;06/2020;R$ 45,23
;;;07/2020;R$ 47,01
;;;08/2020;R$ 54,30
;;;09/2020;R$ 57,15
;;;10/2020;R$ 68,86
;;;11/2020;R$ 76,84
;;;12/2020;R$ 70,89
;;;01/2021;R$ 80,91
;;;02/2021;R$ 80,03
;;;03/2021;R$ 87,28
;;;04/2021;R$ 94,38
;;;05/2021;R$ 99,82
;;;06/2021;R$ 92,09
;;;07/2021;R$ 95,08
;;;08/2021;R$ 94,21
;;;09/2021;R$ 90,15
;;;10/2021;R$ 86,64
;;;11/2021;R$ 82,96
;;;12/2021;R$ 87,03
;;;01/2022;R$ 95,41
;;;02/2022;R$ 96,67
;;;03/2022;R$ 97,36
;;;04/2022;R$ 87,42
;;;05/2022;R$ 87,39
;;;06/2022;R$ 87,33
;;;07/2022;R$ 80,70
;;;08/2022;R$ 80,63
;;;09/2022;R$ 82,02
;;;10/2022;R$ 83,53
;;;11/2022;R$ 83,37
;;;12/2022;R$ 84,90
;;;01/2023;R$ 85,26
;ATACADO;TO;01/2020;R$ 54,17
;;;02/2020;R$ 56,00
;;;03/2020;R$ 55,83
;;;04/2020;R$ 59,77
;;;05/2020;R$ 58,57
;;;06/2020;R$ 51,00
;;;07/2020;R$ 45,25
;;;08/2020;R$ 50,24
;;;09/2020;R$ 57,05
;;;10/2020;R$ 62,27
;;;11/2020;R$ 62,75
;;;12/2020;R$ 63,83
;;;01/2021;R$ 65,00
;;;02/2021;R$ 76,75
;;;03/2021;R$ 83,70
;;;04/2021;R$ 85,00
;;;05/2021;R$ 89,50
;;;06/2021;R$ 93,73
;;;07/2021;R$ 92,00
;;;08/2021;R$ 97,00
;;;09/2021;R$ 97,81
;;;10/2021;R$ 97,84
;;;11/2021;R$ 94,04
;;;12/2021;R$ 91,63
;;;01/2022;R$ 88,79
;;;02/2022;R$ 93,89
;;;03/2022;R$ 97,30
;;;04/2022;R$ 96,21
;;;05/2022;R$ 95,66
;;;06/2022;R$ 95,64
;;;07/2022;R$ 92,10
;;;08/2022;R$ 84,17
;;;09/2022;R$ 84,55
;;;10/2022;R$ 84,50
;;;11/2022;R$ 89,41
;;;12/2022;R$ 89,50
;;;01/2023;R$ 90,30
MILHO EM GRÃOS   (kg);ATACADO;RJ;01/2020;R$ 1,01
;;;02/2020;R$ 1,00
;;;03/2020;R$ 1,00
;;;04/2020;R$ 0,91
;;;05/2020;R$ 0,88
;;;06/2020;R$ 0,86
;;;07/2020;R$ 0,88
;;;08/2020;R$ 0,99
;;;09/2020;R$ 1,09
;;;10/2020;R$ 1,21
;;;11/2020;R$ 1,42
;;;12/2020;R$ 1,34
;;;01/2021;R$ 1,45
;;;02/2021;R$ 1,42
;;;03/2021;R$ 1,45
;;;04/2021;R$ 1,61
;;;05/2021;R$ 1,73
;;;06/2021;R$ 1,63
;;;07/2021;R$ 1,69
;;;08/2021;R$ 1,80
;;;09/2021;R$ 1,73
;;;10/2021;R$ 1,66
;;;11/2021;R$ 1,60
;;;12/2021;R$ 1,58
;;;01/2022;R$ 1,65
;;;02/2022;R$ 1,68
;;;03/2022;R$ 1,66
;;;04/2022;R$ 1,48
;;;05/2022;R$ 1,48
;;;06/2022;R$ 1,47
;;;07/2022;R$ 1,46
;;;08/2022;R$ 1,48
;;;09/2022;R$ 1,56
;;;10/2022;R$ 1,57
;;;11/2022;R$ 1,57
;;;12/2022;R$ 1,56
;;;01/2023;R$ 1,58
